dv2_rank_high_to_low,lga_code,lga_name,state_abbrev,vulnerable_pct_dv2,vulnerable_n_dv2,valid_scores_n_dv2,dv2_vulnerability_quartile,is_high_dv2_lga,usual_resident_population,irsd_score,irsd_australia_decile,irsd_australia_percentile,irsd_disadvantage_group,irsad_score,irsad_australia_decile,ier_score,ier_australia_decile,ieo_score,ieo_australia_decile,n_services,services_per_10000_population,total_approved_places,approved_places_per_10000_population,mean_train_distance_km,median_train_distance_km,mean_bus_distance_km,median_bus_distance_km,mean_nearest_transport_distance_km,median_nearest_transport_distance_km,transport_distance_quartile,pct_within_1km_any_transport,pct_farther_than_5km_any_transport
327,10250,Ballina,NSW,8.95522388059701,36.0,402.0,Q2 lower-middle DV2,False,46296.0,1015.142657,8.0,76.0,Advantaged: IRSD deciles 7-8,995.9634697,8.0,1011.181088,8.0,990.6369938,8.0,27.0,5.832037325038881,1592.0,343.8742007948851,23.96062543136129,25.6139782912481,6.283334680591189,4.19641372606998,6.283334680591189,4.19641372606998,Q2 relatively close to transport,0.0,44.44444444444444
328,16700,Ryde,NSW,8.91016200294551,121.0,1358.0,Q2 lower-middle DV2,False,129123.0,1055.198382,10.0,91.0,Most advantaged: IRSD deciles 9-10,1098.862417,10.0,1006.54455,8.0,1120.263232,10.0,97.0,7.512217033371281,7900.0,611.8197377694137,2.0978424644798688,1.96740352730033,2.9060752419890785,2.93265569252602,1.5444384536578533,1.44165679420394,Q1 closest to transport,38.144329896907216,0.0
329,12350,Cowra,NSW,8.82352941176471,12.0,136.0,Q2 lower-middle DV2,False,12724.0,931.7934497,3.0,22.0,Disadvantaged: IRSD deciles 3-4,908.1458202,2.0,950.2436552,3.0,908.1770064,3.0,7.0,5.501414649481296,332.0,260.92423766111284,61.59984470864735,61.5429279775553,89.48534595634081,89.4743127075737,61.59984470864735,61.5429279775553,Q4 farthest from transport,0.0,100.0
330,36720,Sunshine Coast,QLD,8.78341516639389,322.0,3666.0,Q2 lower-middle DV2,False,342541.0,1021.721481,8.0,78.0,Advantaged: IRSD deciles 7-8,1000.948451,8.0,1023.155087,9.0,990.8615089,8.0,188.0,5.488394090050535,14704.0,429.2624824473567,9.456618467336796,11.19878133223335,43.70829680796726,43.46897490309945,9.456618467336796,11.19878133223335,Q3 relatively far from transport,15.425531914893616,72.87234042553192
331,57910,Stirling,WA,8.78243512974052,220.0,2505.0,Q2 lower-middle DV2,False,226369.0,1026.575409,9.0,81.0,Most advantaged: IRSD deciles 9-10,1034.516414,9.0,1005.426749,8.0,1047.756893,9.0,124.0,5.47778185175532,7101.0,313.6913623331817,2.7119244794463437,2.66726898322459,7.171994605432428,7.4877602448761245,2.7119244794463437,2.66726898322459,Q2 relatively close to transport,7.258064516129033,4.032258064516129
332,35740,Noosa,QLD,8.7719298245614,45.0,513.0,Q2 lower-middle DV2,False,56298.0,1029.53433,9.0,83.0,Most advantaged: IRSD deciles 9-10,1008.936158,9.0,1028.541151,9.0,1002.789147,8.0,27.0,4.79590749227326,1536.0,272.8338484493232,8.192494632488033,11.1673690828643,76.01646347571435,75.6170271735733,8.192494632488033,11.1673690828643,Q3 relatively far from transport,29.629629629629623,59.25925925925925
333,13910,Hilltops,NSW,8.72093023255814,15.0,172.0,Q2 lower-middle DV2,False,19254.0,954.2925375,4.0,33.0,Disadvantaged: IRSD deciles 3-4,928.6417369,4.0,973.7717313,5.0,926.8124634,4.0,13.0,6.751843772722551,732.0,380.1807416640698,8.996050497159358,1.00186335998254,44.31167365006798,43.7084210848398,8.996050497159358,1.00186335998254,Q1 closest to transport,46.15384615384615,23.07692307692308
334,22250,Gannawarra,VIC,8.69565217391304,10.0,115.0,Q2 lower-middle DV2,False,10683.0,952.4122494,4.0,32.0,Disadvantaged: IRSD deciles 3-4,919.3824473,3.0,964.3228562,4.0,912.3018034,3.0,6.0,5.616399887672002,244.0,228.40026209866141,16.32176925597796,22.1795858714289,76.13329641932745,82.6415250781337,16.32176925597796,22.1795858714289,Q3 relatively far from transport,33.33333333333333,66.66666666666666
335,30370,Banana,QLD,8.58585858585858,17.0,198.0,Q2 lower-middle DV2,False,14513.0,991.5870882,7.0,61.0,Advantaged: IRSD deciles 7-8,953.8860165,6.0,998.1502801,7.0,909.3102737,3.0,11.0,7.579411562047819,334.0,230.13849652036106,89.58841531907173,81.0472308995462,138.42764721200118,113.927451822909,89.58841531907173,81.0472308995462,Q4 farthest from transport,0.0,100.0
336,30410,Barcaldine,QLD,8.57142857142857,3.0,35.0,Q2 lower-middle DV2,False,2849.0,1002.1467,7.0,68.0,Advantaged: IRSD deciles 7-8,971.1260958,7.0,989.2937555,6.0,955.9243032,6.0,2.0,7.02000702000702,64.0,224.64022464022463,1.08263585946995,1.08263585946995,503.931240595376,503.931240595376,1.08263585946995,1.08263585946995,Q1 closest to transport,0.0,0.0
