lga_code,lga_name,state_abbrev,vulnerable_pct_dv1,vulnerable_pct_dv2,vulnerable_pct_language,vulnerable_pct_communication,dv2_vulnerability_quartile,usual_resident_population,irsd_australia_decile,irsd_disadvantage_group,mean_google_overall_rating,median_google_overall_rating,mean_individual_rating,median_individual_rating,pct_5_star_individual_reviews,pct_1_or_2_star_individual_reviews,n_reviewed_service_names,n_review_rows,n_comment_rows,pct_review_rows_with_comment,pct_services_with_google_review_data,avg_comment_words_per_comment,pct_high_quality_services,median_nearest_transport_distance_km
14700,Lane Cove,NSW,13.3474576271186,4.66101694915254,1.69491525423729,4.23728813559322,Q1 lowest DV2,39438.0,10.0,Most advantaged: IRSD deciles 9-10,4.7,4.7,4.69811320754717,5.0,86.79245283018868,5.660377358490567,1.0,53.0,46.0,86.79245283018868,3.4482758620689653,73.84782608695652,24.13793103448276,1.70570282946792
14850,Lismore,NSW,22.9333333333333,14.8541114058355,8.48806366047745,7.16180371352785,Q3 upper-middle DV2,44334.0,5.0,Middle: IRSD deciles 5-6,4.7,4.7,4.645,5.0,84.5,6.0,2.0,200.0,200.0,100.0,4.651162790697675,32.245,38.88888888888889,22.889251927103
14900,Liverpool,NSW,25.8692185007974,14.2766295707472,9.50413223140496,13.0241423125794,Q3 upper-middle DV2,233446.0,3.0,Disadvantaged: IRSD deciles 3-4,4.542857142857143,4.8,4.447311827956989,5.0,83.44086021505376,12.903225806451612,7.0,465.0,351.0,75.48387096774194,3.763440860215054,60.18233618233618,11.695906432748536,2.43896806614399
15560,Murrumbidgee,NSW,34.2857142857143,14.2857142857143,8.82352941176471,14.2857142857143,Q3 upper-middle DV2,3353.0,6.0,Middle: IRSD deciles 5-6,4.4,4.4,4.352941176470588,5.0,80.3921568627451,15.68627450980392,1.0,51.0,45.0,88.23529411764706,33.33333333333333,79.35555555555555,0.0,54.7201545711427
15950,North Sydney,NSW,14.9122807017544,6.47985989492119,2.45183887915937,4.02802101576182,Q1 lowest DV2,68950.0,10.0,Most advantaged: IRSD deciles 9-10,4.1000000000000005,4.2,4.282926829268293,5.0,77.5609756097561,16.097560975609756,3.0,205.0,183.0,89.26829268292683,6.25,46.61748633879781,28.88888888888889,0.7754786544805929
15990,Northern Beaches,NSW,14.416961130742,6.47100424328147,2.05019441498763,3.99152243023667,Q1 lowest DV2,263554.0,10.0,Most advantaged: IRSD deciles 9-10,3.0500000000000003,3.0500000000000003,3.060606060606061,3.0,44.44444444444444,44.44444444444444,2.0,99.0,66.0,66.66666666666666,1.0869565217391304,53.56060606060606,23.756906077348063,8.71682162583274
16260,Parramatta,NSW,19.3320488118176,9.36497754971135,3.97946084724005,9.80769230769231,Q2 lower-middle DV2,256729.0,9.0,Most advantaged: IRSD deciles 9-10,4.623076923076924,4.7,4.645892351274788,5.0,87.96033994334277,7.790368271954675,13.0,706.0,572.0,81.01983002832861,6.878306878306878,66.97552447552448,12.849162011173185,0.88705052698804
16350,Penrith,NSW,24.3851018973999,11.9733146067416,7.3410607657183,10.8459108459108,Q3 upper-middle DV2,217664.0,6.0,Middle: IRSD deciles 5-6,3.675,3.55,3.892703862660944,5.0,69.52789699570815,26.60944206008584,4.0,233.0,185.0,79.39914163090128,2.2988505747126435,59.18918918918919,19.879518072289155,2.314287171962965
16550,Randwick,NSW,19.6993670886076,7.74703557312253,3.63636363636364,5.05928853754941,Q1 lowest DV2,134252.0,10.0,Most advantaged: IRSD deciles 9-10,5.0,5.0,5.0,5.0,100.0,0.0,1.0,55.0,48.0,87.27272727272727,1.020408163265306,71.125,17.708333333333336,3.42465079239022
16700,Ryde,NSW,18.491124260355,8.91016200294551,3.3112582781457,9.4186902133922,Q2 lower-middle DV2,129123.0,10.0,Most advantaged: IRSD deciles 9-10,4.7,4.6,4.652671755725191,5.0,87.40458015267176,7.251908396946565,5.0,262.0,201.0,76.7175572519084,5.154639175257731,81.41791044776119,19.318181818181817,1.44165679420394
